item, sku, size, order_num, date_of_purchase, purchase_price, status, status_update_date
Jordan 5 Retro Raging Bull Red (2021), DD0587-600, 9, 31866008-31765767, Not Set, 222.60, Shipped To StockX, Thu 30 Dec 2021 - 04:05:21 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11, 31602605-31502364, Not Set, 212.23, Arrived At StockX, Thu 30 Dec 2021 - 04:21:54 PM
Nike Dunk High Syracuse (2021), DD1399-101, 13, 31568691-31468450, Not Set, 222.59, Arrived At StockX, Thu 30 Dec 2021 - 05:00:04 PM
Nike Dunk High Syracuse (2021), DD1399-101, 13, 31568691-31468450, Not Set, 222.59, Refund Issued, Thu 30 Dec 2021 - 05:00:44 PM
adidas Yeezy Foam RNNR Ochre, GW3354, 13, 31814535-31714294, Not Set, 207.89, Verified & Shipped, Thu 30 Dec 2021 - 05:31:35 PM
adidas Yeezy Boost 350 V2 Carbon, FZ5000, 10, 31920578-31820337, Not Set, 260.22, Shipped To StockX, Thu 30 Dec 2021 - 05:41:35 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6.5Y, 31907503-31807262, Not Set, 134.14, Shipped To StockX, Thu 30 Dec 2021 - 06:00:22 PM
Jordan 13 Retro Starfish, 414571-108, 13, 31776863-31676622, Not Set, 235.14, Refund Issued, Thu 30 Dec 2021 - 06:09:00 PM
Jordan 6 Retro Bordeaux, CT8529-063, 12, 31931914-31831673, Not Set, 214.24, Order Confirmed, Thu 30 Dec 2021 - 06:11:27 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31809579-31709338, Not Set, 131.14, Refund Issued, Thu 30 Dec 2021 - 06:28:13 PM
Jordan 3 Retro Rust Pink (W), CK9246-600, 10.5W, 31789233-31688992, Not Set, 237.23, Arrived At StockX, Thu 30 Dec 2021 - 06:32:20 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 7Y, 31932843-31832602, Not Set, 133.14, Order Confirmed, Thu 30 Dec 2021 - 06:33:27 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 11, 31932853-31832612, Not Set, 216.33, Order Confirmed, Thu 30 Dec 2021 - 06:33:41 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31882333-31782092, Not Set, 126.64, Shipped To StockX, Thu 30 Dec 2021 - 06:38:25 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31882212-31781971, Not Set, 133.14, Shipped To StockX, Thu 30 Dec 2021 - 06:38:56 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31882228-31781987, Not Set, 133.14, Shipped To StockX, Thu 30 Dec 2021 - 06:38:57 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31882301-31782060, Not Set, 125.64, Shipped To StockX, Thu 30 Dec 2021 - 06:38:58 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31473148-31372907, Not Set, 176.20, Delivered, Thu 30 Dec 2021 - 07:38:16 PM
Jordan 1 Mid Paint Drip (GS), DD1666-100, 4.5Y, 31908808-31808567, Not Set, 150.49, Shipped To StockX, Thu 30 Dec 2021 - 07:38:41 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 5Y, 31936483-31836242, Not Set, 105.14, Order Confirmed, Thu 30 Dec 2021 - 08:00:33 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31473649-31373408, Not Set, 186.50, Delivered, Thu 30 Dec 2021 - 08:01:06 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 6.5Y, 31845903-31745662, Not Set, 140.14, Shipped To StockX, Thu 30 Dec 2021 - 08:12:45 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 6, 31868272-31768031, Not Set, 205.88, Verified & Shipped, Thu 30 Dec 2021 - 08:20:41 PM
Jordan 14 Retro Low Shocking Pink (W), DH4121-600, 9W, 31519754-31419513, Not Set, 221.55, Arrived At StockX, Thu 30 Dec 2021 - 08:25:15 PM
Jordan 6 Retro Electric Green, CT8529-003, 11, 31788198-31687957, Not Set, 219.46, Verified & Shipped, Thu 30 Dec 2021 - 08:40:44 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31882159-31781918, Not Set, 133.14, Shipped To StockX, Thu 30 Dec 2021 - 08:41:02 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31882135-31781894, Not Set, 133.14, Shipped To StockX, Thu 30 Dec 2021 - 08:41:04 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31882159-31781918, Not Set, 133.14, Shipped To StockX, Thu 30 Dec 2021 - 08:41:03 PM
adidas Yeezy 700 V3 Copper Fade, GY4109, 10, 31903436-31803195, Not Set, 160.48, Shipped To StockX, Thu 30 Dec 2021 - 08:45:17 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 11, 31932853-31832612, Not Set, 216.33, Shipped To StockX, Thu 30 Dec 2021 - 09:01:38 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6.5Y, 31882771-31782530, Not Set, 134.14, Verified & Shipped, Thu 30 Dec 2021 - 09:04:35 PM
Jordan 1 Low Green Toe (GS), 553560-371, 6.5Y, 31922220-31821979, Not Set, 136.14, Shipped To StockX, Thu 30 Dec 2021 - 09:10:27 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 8, 31820158-31719917, Not Set, 182.89, Shipped To StockX, Thu 30 Dec 2021 - 09:10:34 PM
Jordan 1 Mid Paint Drip (GS), DD1666-100, 6Y, 31846358-31746117, Not Set, 139.00, Shipped To StockX, Thu 30 Dec 2021 - 10:13:51 PM
Jordan 1 Mid Paint Drip (GS), DD1666-100, 4.5Y, 31846142-31745901, Not Set, 156.76, Shipped To StockX, Thu 30 Dec 2021 - 10:25:13 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6.5Y, 31882395-31782154, Not Set, 132.16, Shipped To StockX, Thu 30 Dec 2021 - 10:27:40 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31882105-31781864, Not Set, 134.14, Shipped To StockX, Thu 30 Dec 2021 - 10:28:38 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31882123-31781882, Not Set, 134.14, Shipped To StockX, Thu 30 Dec 2021 - 10:28:46 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31942093-31841852, Not Set, 104.14, Order Confirmed, Thu 30 Dec 2021 - 10:44:39 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 5.5Y, 31943261-31843020, Not Set, 129.14, Order Confirmed, Thu 30 Dec 2021 - 11:22:53 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31943270-31843029, Not Set, 132.14, Order Confirmed, Thu 30 Dec 2021 - 11:23:04 PM
